Total Play Time,Total XP,Bot Name,Level,Rarity,Health,Size,Haste,Crit,Resilience,Max Energy,Res. Yield Incr.,Mission Success Boost,Mission Crit Chance,Mission Number
122.4,3766,bot2,5,common,100,19,3,7,417,115,0.19,0.015,0.035,30
130.9,4016,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,30
132.2,3274,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,30
48.6,1708,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,30
130.4,3910,bot2,5,common,100,19,3,7,417,115,0.19,0.015,0.035,31
132.9,4086,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,31
134.2,3310,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,31
56.6,1988,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,31
138.4,4270,bot2,5,common,100,19,3,7,417,115,0.19,0.015,0.035,32
135.6,4086,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,32
136.2,3340,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,32
58.6,2018,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,32
140.4,4360,bot2,5,common,100,19,3,7,417,115,0.19,0.015,0.035,33
137.6,4196,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,33
138.2,3430,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,33
62.6,2090,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,33
143.275,4360,bot2,5,common,100,19,3,7,417,115,0.19,0.015,0.035,34
139.6,4266,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,34
146.2,3710,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,34
64.65,2090,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,34
147.275,4432,bot2,5,common,100,19,3,7,417,115,0.19,0.015,0.035,35
147.6,4706,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,35
148.2,3746,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,35
72.65,2450,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,35
149.275,4502,bot2,5,common,100,19,3,7,417,115,0.19,0.015,0.035,36
151.6,4846,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,36
156.2,4186,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,36
76.65,2498,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,36
151.275,4532,bot2,5,common,100,19,3,7,417,115,0.19,0.015,0.035,37
159.6,5206,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,37
164.2,4466,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,37
78.65,2588,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,37
159.275,4972,bot2,5,common,100,19,3,7,417,115,0.19,0.015,0.035,38
161.6,5242,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,38
166.89999999999998,4466,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,38
82.65,2808,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,38
167.275,5252,bot2,5,uncommon,100,19,3,7,396,115,0.19,0.015,0.035,39
163.6,5272,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,39
170.89999999999998,4538,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,39
90.65,3248,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,39
175.275,5692,bot2,6,uncommon,100,20,4,7,396,115,0.2,0.02,0.035,40
171.6,5368,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,40
172.89999999999998,4562,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,40
94.65,3428,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,40
179.275,5872,bot2,7,uncommon,100,21,5,7,396,115,0.21,0.025,0.035,41
174.25,5368,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,41
180.89999999999998,4922,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,41
97.10000000000001,3428,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,41
187.275,6312,bot2,8,uncommon,100,21,6,8,396,115,0.21,0.03,0.04,42
176.25,5398,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,42
188.89999999999998,5282,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,42
99.10000000000001,3518,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,42
191.275,6452,bot2,8,uncommon,100,21,6,8,396,115,0.21,0.03,0.04,43
184.25,5678,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,43
196.89999999999998,5722,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,43
101.10000000000001,3542,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,43
193.275,6542,bot2,8,uncommon,100,21,6,8,396,115,0.21,0.03,0.04,44
188.25,5726,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,44
198.89999999999998,5812,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,44
103.10000000000001,3652,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,44
197.275,6762,bot2,8,uncommon,100,21,6,8,396,115,0.21,0.03,0.04,45
192.25,5786,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,45
200.89999999999998,5922,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,45
111.10000000000001,3932,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,45
201.275,6902,bot2,8,uncommon,100,21,6,8,396,115,0.21,0.03,0.04,46
200.25,5882,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,46
203.74999999999997,5922,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,46
115.10000000000001,4004,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,46
205.275,6962,bot2,8,uncommon,100,21,6,8,396,115,0.21,0.03,0.04,47
202.25,5972,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,47
211.74999999999997,6042,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,47
117.10000000000001,4094,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,47
207.275,6992,bot2,8,uncommon,100,21,6,8,396,115,0.21,0.03,0.04,48
210.25,6116,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,48
215.74999999999997,6182,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,48
125.10000000000001,4374,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,48
209.275,7082,bot2,9,uncommon,100,21,7,9,396,115,0.21,0.035,0.045,49
212.65,6116,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,49
219.74999999999997,6254,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,49
133.10000000000002,4814,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,49
211.275,7192,bot2,9,uncommon,100,21,7,9,396,115,0.21,0.035,0.045,50
214.65,6226,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,50
223.74999999999997,6394,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,50
135.10000000000002,4844,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,50
213.275,7262,bot2,9,uncommon,100,21,7,9,396,115,0.21,0.035,0.045,51
222.65,6506,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,51
225.74999999999997,6464,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,51
137.85000000000002,4844,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,51
215.275,7298,bot2,9,uncommon,100,21,7,9,396,115,0.21,0.035,0.045,52
226.65,6578,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,52
229.74999999999997,6684,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,52
141.85000000000002,4904,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,52
217.275,7334,bot2,9,uncommon,100,21,7,9,396,115,0.21,0.035,0.045,53
234.65,6698,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,53
231.74999999999997,6794,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,53
145.85000000000002,4964,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,53
225.275,7478,bot2,9,uncommon,100,21,7,9,396,115,0.21,0.035,0.045,54
236.65,6728,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,54
239.74999999999997,7154,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,54
153.85000000000002,5324,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,54
233.275,7622,bot2,9,uncommon,100,21,7,9,396,115,0.21,0.035,0.045,55
240.65,6788,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,55
242.44999999999996,7154,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,55
155.85000000000002,5360,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,55
235.275,7658,bot2,9,uncommon,100,21,7,9,396,115,0.21,0.035,0.045,56
248.65,6884,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,56
250.44999999999996,7434,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,56
159.85000000000002,5432,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,56
243.275,8098,bot2,9,uncommon,100,21,7,9,396,115,0.21,0.035,0.045,57
250.65,6914,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,57
258.44999999999993,7714,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,57
161.85000000000002,5542,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,57
246.05,8098,bot2,9,uncommon,100,21,7,9,396,115,0.21,0.035,0.045,58
253.25,6914,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,58
260.44999999999993,7824,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,58
163.85000000000002,5632,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,58
254.05,8538,bot2,9,uncommon,100,21,7,9,396,115,0.21,0.035,0.045,59
257.25,7094,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,59
264.44999999999993,7964,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,59
165.85000000000002,5662,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,59
256.05,8574,bot2,10,uncommon,100,21,8,10,396,115,0.21,0.04,0.05,60
265.25,7374,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,60
272.44999999999993,8244,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,60
167.85000000000002,5752,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,60
260.05,8646,bot2,10,uncommon,100,21,8,10,396,115,0.21,0.04,0.05,61
267.25,7410,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,61
276.44999999999993,8424,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,61
170.3,5752,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,61
262.05,8682,bot2,10,uncommon,100,21,8,10,396,115,0.21,0.04,0.05,62
271.25,7458,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,62
284.44999999999993,8704,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,62
174.3,5972,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,62
266.05,8822,bot2,10,uncommon,100,21,8,10,396,115,0.21,0.04,0.05,63
279.25,7578,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,63
288.44999999999993,8776,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,63
182.3,6332,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,63
274.05,9182,bot2,10,uncommon,100,21,8,10,396,115,0.21,0.04,0.05,64
287.25,7722,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,64
291.1499999999999,8776,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,64
186.3,6512,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,64
276.05,9272,bot2,10,uncommon,100,21,8,10,396,115,0.21,0.04,0.05,65
289.75,7722,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,65
293.1499999999999,8800,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,65
194.3,6632,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,65
278.05,9362,bot2,10,uncommon,100,21,8,10,396,115,0.21,0.04,0.05,66
293.75,7794,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,66
297.1499999999999,9020,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,66
202.3,7072,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,66
286.05,9506,bot2,10,uncommon,100,21,8,10,396,115,0.21,0.04,0.05,67
297.75,7974,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,67
305.1499999999999,9164,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,67
205.0,7072,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,67
290.05,9578,bot2,10,uncommon,100,21,8,10,396,115,0.21,0.04,0.05,68
299.75,8010,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,68
309.1499999999999,9304,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,68
209.0,7292,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,68
292.425,9578,bot2,10,uncommon,100,21,8,10,396,115,0.21,0.04,0.05,69
303.75,8070,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,69
313.1499999999999,9524,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,69
213.0,7472,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,69
300.425,10018,bot2,10,uncommon,100,21,8,10,396,115,0.21,0.04,0.05,70
311.75,8510,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,70
315.1499999999999,9560,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,70
221.0,7592,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,70
304.425,10198,bot2,10,uncommon,100,21,8,10,396,115,0.21,0.04,0.05,71
319.75,8606,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,71
317.1499999999999,9650,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,71
225.0,7772,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,71
312.425,10478,bot2,10,uncommon,100,21,8,10,396,115,0.21,0.04,0.05,72
322.15,8606,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,72
319.3999999999999,9650,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,72
233.0,7892,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,72
320.425,10622,bot2,10,uncommon,100,21,8,10,396,115,0.21,0.04,0.05,73
324.15,8696,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,73
321.3999999999999,9760,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,73
235.0,7962,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,73
322.425,10692,bot2,10,uncommon,100,21,8,10,396,115,0.21,0.04,0.05,74
326.15,8806,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,74
329.3999999999999,9904,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,74
239.0,8182,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,74
324.425,10762,bot2,10,uncommon,100,21,8,10,396,115,0.21,0.04,0.05,75
328.15,8842,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,75
331.3999999999999,9994,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,75
241.7,8182,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,75
326.925,10762,bot2,10,uncommon,100,21,8,10,396,115,0.21,0.04,0.05,76
332.15,9022,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,76
333.3999999999999,10024,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,76
243.7,8206,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,76
334.925,10858,bot2,10,uncommon,100,21,8,10,396,115,0.21,0.04,0.05,77
340.15,9118,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,77
335.3999999999999,10094,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,77
251.7,8646,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,77
336.925,10882,bot2,10,uncommon,100,21,8,10,396,115,0.21,0.04,0.05,78
344.15,9338,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,78
343.3999999999999,10534,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,78
259.7,8790,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,78
344.925,11026,bot2,10,uncommon,100,21,8,10,396,115,0.21,0.04,0.05,79
346.15,9368,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,79
347.3999999999999,10754,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,79
267.7,9150,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,79
346.925,11136,bot2,10,uncommon,100,21,8,10,396,115,0.21,0.04,0.05,80
348.15,9458,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,80
349.3999999999999,10844,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,80
269.7,9240,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,80
350.925,11276,bot2,10,uncommon,100,21,8,10,396,115,0.21,0.04,0.05,81
356.15,9738,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,81
352.1499999999999,10844,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,81
271.7,9310,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,81
358.925,11420,bot2,10,uncommon,100,21,8,10,396,115,0.21,0.04,0.05,82
360.15,9918,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,82
360.1499999999999,10988,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,82
274.25,9310,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,82
